日期,代码,开盘,最高,最低,收盘,成交量（手）,成交额,振幅,涨跌幅,换手率
2025-04-15,000001,3260.69,3268.98,3246.34,3267.66,396662895,456332610419.5,0.69,0.15,0.83
2025-04-16,000001,3267.67,3276.0,3233.79,3276.0,429534854,489200692651.5,1.29,0.26,0.89
2025-04-17,000001,3261.72,3285.92,3258.15,3280.34,382012698,442596764018.0,0.85,0.13,0.79
2025-04-18,000001,3270.35,3283.09,3262.39,3276.73,358836193,380313472554.0,0.63,-0.11,0.75
2025-04-21,000001,3273.14,3298.64,3270.01,3291.43,379307588,429391687759.8,0.87,0.45,0.79
2025-04-22,000001,3289.17,3311.15,3288.33,3299.76,403167615,452675441997.0,0.69,0.25,0.84
2025-04-23,000001,3308.15,3312.19,3293.06,3296.36,411633212,486209315161.0,0.58,-0.1,0.86
2025-04-24,000001,3295.15,3313.51,3286.24,3297.29,392844749,434706037225.2,0.83,0.03,0.82
2025-04-25,000001,3300.39,3305.26,3288.75,3295.06,411043192,445417627332.6,0.5,-0.07,0.86
2025-04-28,000001,3292.06,3296.93,3279.88,3288.41,410665863,441916383127.0,0.52,-0.2,0.85
2025-04-29,000001,3281.45,3294.98,3277.63,3286.65,388961672,430881033503.5,0.53,-0.05,0.81
2025-04-30,000001,3284.08,3292.2,3277.55,3279.03,435794335,505572584224.8,0.45,-0.23,0.91
2025-05-06,000001,3295.25,3316.45,3286.99,3316.11,474369617,551825065624.5,0.9,1.13,0.99
2025-05-07,000001,3354.97,3356.69,3324.81,3342.67,511159606,595230089056.8,0.96,0.8,1.06
2025-05-08,000001,3331.21,3359.73,3327.9,3352.0,428377766,501611375480.2,0.95,0.28,0.89
2025-05-09,000001,3350.41,3351.22,3335.13,3342.0,398909191,464862361533.5,0.48,-0.3,0.83
2025-05-12,000001,3352.97,3372.47,3344.27,3369.24,418239910,522080702357.3,0.84,0.82,0.87
2025-05-13,000001,3386.23,3386.23,3370.25,3374.87,426240700,506608943780.3,0.47,0.17,0.89
2025-05-14,000001,3374.24,3417.31,3368.08,3403.95,464934441,534872944626.8,1.46,0.86,0.97
2025-05-15,000001,3398.43,3402.87,3378.02,3380.82,424100916,461292249433.7,0.73,-0.68,0.88
2025-05-16,000001,3374.71,3380.29,3356.66,3367.46,395401030,435647042664.2,0.7,-0.4,0.82
2025-05-19,000001,3365.88,3373.6,3356.65,3367.58,403074805,437177569219.3,0.5,0.0,0.84
2025-05-20,000001,3371.69,3387.8,3369.96,3380.48,405544534,450290477203.2,0.53,0.38,0.84
2025-05-21,000001,3380.21,3394.75,3380.21,3387.57,412496165,465956993372.1,0.43,0.21,0.86
2025-05-22,000001,3381.87,3390.59,3376.23,3380.19,394217206,438334515335.4,0.42,-0.22,0.82
2025-05-23,000001,3376.87,3389.47,3348.37,3348.37,400227004,468587869621.5,1.22,-0.94,0.83
2025-05-26,000001,3346.56,3362.31,3336.36,3346.84,347562101,400526568362.5,0.78,-0.05,0.72
2025-05-27,000001,3346.5,3351.57,3332.49,3340.69,344071157,394408732880.1,0.57,-0.18,0.72
2025-05-28,000001,3341.85,3348.23,3336.73,3339.93,341555443,389341214708.2,0.34,-0.02,0.71
2025-05-29,000001,3340.4,3368.63,3337.42,3363.45,393233806,453741382170.8,0.93,0.7,0.82
2025-05-30,000001,3358.81,3361.28,3341.65,3347.49,385602170,443358967722.6,0.58,-0.47,0.8
2025-06-03,000001,3340.07,3367.0,3340.07,3361.98,398060772,468292670251.0,0.8,0.43,0.83
2025-06-04,000001,3363.39,3379.64,3363.39,3376.2,386494643,446844610692.2,0.48,0.42,0.8
2025-06-05,000001,3378.22,3387.76,3371.15,3384.1,406252093,498241228900.9,0.49,0.23,0.85
2025-06-06,000001,3384.29,3391.45,3379.76,3385.36,380122886,452743716106.4,0.35,0.04,0.79
2025-06-09,000001,3388.78,3402.05,3383.07,3399.77,427347947,511879936968.4,0.56,0.43,0.89
2025-06-10,000001,3402.01,3406.45,3365.67,3384.82,481618568,557427629004.8,1.2,-0.44,1.0
2025-06-11,000001,3385.46,3413.51,3385.46,3402.32,424090313,501807385818.0,0.83,0.52,0.88
2025-06-12,000001,3397.97,3408.2,3388.87,3402.66,409490610,501624560637.2,0.57,0.01,0.85
2025-06-13,000001,3397.48,3401.55,3370.59,3377.0,510065221,605384839391.2,0.91,-0.75,1.06
2025-06-16,000001,3369.37,3389.76,3368.88,3388.73,405383278,481594409526.3,0.62,0.35,0.84
2025-06-17,000001,3388.18,3393.31,3376.42,3387.4,390012447,458038158678.3,0.5,-0.04,0.81
2025-06-18,000001,3386.14,3391.71,3369.99,3388.81,378684891,441011095449.0,0.64,0.04,0.79
2025-06-19,000001,3384.29,3386.92,3353.94,3362.11,415327655,473258595431.1,0.97,-0.79,0.86
2025-06-20,000001,3358.91,3370.8,3357.71,3359.9,350223662,410873272619.8,0.39,-0.07,0.73
2025-06-23,000001,3349.46,3389.45,3347.65,3381.58,384561397,442789178469.5,1.24,0.65,0.8
2025-06-24,000001,3380.08,3423.78,3380.08,3420.57,460963800,544882077636.6,1.29,1.15,0.96
2025-06-25,000001,3419.09,3459.01,3417.41,3455.97,509384064,620173277605.0,1.22,1.03,1.06
2025-06-26,000001,3451.72,3462.75,3446.19,3448.45,496541077,603095111896.8,0.48,-0.22,1.03
2025-06-27,000001,3450.69,3462.63,3421.04,3424.23,523129432,605731616257.7,1.21,-0.7,1.09
2025-06-30,000001,3423.47,3447.46,3420.11,3444.43,457348049,567137246034.1,0.8,0.59,0.95
2025-07-01,000001,3445.85,3459.59,3441.04,3457.75,444356739,553556536157.1,0.54,0.39,0.92
2025-07-02,000001,3458.17,3461.33,3447.96,3454.79,498116776,543130721694.1,0.39,-0.09,1.04
2025-07-03,000001,3456.15,3463.62,3446.97,3461.15,438543465,500211767756.2,0.48,0.18,0.91
