2026-04-27 00:12:51 - backtest_project_426.backtest_main - INFO - ==================================================
2026-04-27 00:12:51 - backtest_project_426.backtest_main - INFO - 开始回测程序
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - 初始资金: 100000.0
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - 回测期间: 2025-04-15 到 2026-04-15
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - ==================================================
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 策略初始化完成: fast_period=6, slow_period=20
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3384.10, 快线: 3362.19, 慢线: 3365.76
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3385.36, 快线: 3369.76, 慢线: 3367.43
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 买入执行，价格：3392.17，成本：33921.69，佣金 10.18
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3399.77, 快线: 3375.82, 慢线: 3370.32
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3384.82, 快线: 3382.04, 慢线: 3371.10
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3402.32, 快线: 3388.76, 慢线: 3372.47
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3402.66, 快线: 3393.17, 慢线: 3372.40
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3377.00, 快线: 3391.99, 慢线: 3372.21
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3388.73, 快线: 3392.55, 慢线: 3373.28
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3387.40, 快线: 3390.49, 慢线: 3374.27
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3388.81, 快线: 3391.15, 慢线: 3374.68
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3362.11, 快线: 3384.45, 慢线: 3373.41
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3359.90, 快线: 3377.33, 慢线: 3372.40
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3381.58, 快线: 3378.09, 慢线: 3374.06
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3420.57, 快线: 3383.39, 慢线: 3377.74
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3455.97, 快线: 3394.82, 慢线: 3383.51
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3448.45, 快线: 3404.76, 慢线: 3388.93
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3424.23, 快线: 3415.12, 慢线: 3391.97
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3444.43, 快线: 3429.20, 慢线: 3396.82
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3457.75, 快线: 3441.90, 慢线: 3401.61
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3454.79, 快线: 3447.60, 慢线: 3405.54
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3461.15, 快线: 3448.47, 慢线: 3409.39
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3472.32, 快线: 3452.44, 慢线: 3413.74
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3473.13, 快线: 3460.59, 慢线: 3417.41
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3497.48, 快线: 3469.44, 慢线: 3423.04
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3493.05, 快线: 3475.32, 慢线: 3427.58
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3509.68, 快线: 3484.47, 慢线: 3432.93
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3510.18, 快线: 3492.64, 慢线: 3439.59
